Id,Prices,Volumes,Market_Cap,Date
staked-ether,617.1649966237076,137563.02655658743,0.0,2020-12-22
staked-ether,617.1649966237076,137563.02655658743,0.0,2020-12-23
staked-ether,596.7677113169867,67102.2592157251,4424223.373088122,2020-12-24
staked-ether,611.5047123866868,54336.794214655325,5651612.707359494,2020-12-25
staked-ether,624.8004202305107,45933.06454052944,7284743.945718903,2020-12-26
staked-ether,629.0666564890665,10300.366418282534,7530256.10332518,2020-12-27
staked-ether,678.0991409249748,89087.13807428456,8034076.269339776,2020-12-28
staked-ether,730.4192863701766,2319.238431710206,11392116.720485743,2020-12-29
staked-ether,722.7676805784541,116741.44432478557,11493376.39775885,2020-12-30
staked-ether,722.2828760791737,95848.21482803432,11905413.948918724,2020-12-31
staked-ether,733.3186200214205,81813.99824695727,12333635.441624038,2021-01-01
staked-ether,723.5314329233858,5104.645519294309,12123442.78038427,2021-01-02
staked-ether,772.0626849149918,34572.923549638675,13205950.414439877,2021-01-03
staked-ether,977.5678400984992,35395.449102019724,15836679.44998422,2021-01-04
staked-ether,966.8978757629144,277333.65778191475,17475397.472125165,2021-01-05
staked-ether,1113.9010557940437,442577.97055314423,19381852.747256536,2021-01-06
staked-ether,1173.3314353182077,38065.92353668953,21396653.5960448,2021-01-07
staked-ether,1223.4467832598373,33380.0662837602,22986311.18507738,2021-01-08
staked-ether,1224.7829944332022,61432.89308072859,24866161.52233301,2021-01-09
staked-ether,1247.308135031523,16621.725032768987,27038338.911400873,2021-01-10
staked-ether,1279.3605770058432,29187.711162359734,32744969.53311306,2021-01-11
staked-ether,1087.2141097118467,45761.95916254789,28497872.511435106,2021-01-12
staked-ether,1051.1076614383398,23342.195552821166,29435948.93378641,2021-01-13
staked-ether,1137.3555154821463,65350.07202209887,53336069.24367899,2021-01-14
staked-ether,1215.0340174070896,20891.856492975992,76486156.1462544,2021-01-15
staked-ether,1160.6440942912907,23973.27157269267,77773706.44238818,2021-01-16
staked-ether,1219.3826646568334,27560.443657135864,86367412.5894856,2021-01-17
staked-ether,1193.8335285214778,7698.1161483334145,84463316.17207983,2021-01-18
staked-ether,1246.2501791878278,3633.065062628682,83549641.03804947,2021-01-19
staked-ether,1374.7240388132666,8909.006666654137,94727223.03282714,2021-01-20
staked-ether,1328.3856147705762,5907.759644804566,101801923.66360264,2021-01-21
staked-ether,1110.6621459785124,77.4220678573587,84924379.65320097,2021-01-22
staked-ether,1207.5312269124056,8820.211015767438,93051751.08442973,2021-01-23
staked-ether,1241.668428386274,7089.779960007589,110162894.87456314,2021-01-24
staked-ether,1332.3202314378657,4435.088453083787,119999757.95428069,2021-01-25
staked-ether,1323.3040641583143,2866.7722452686894,121253879.31507112,2021-01-26
staked-ether,1360.2115687998769,94.95040845503998,129743647.98528455,2021-01-27
staked-ether,1243.595224170501,62.17976120852506,121610639.34405212,2021-01-28
staked-ether,1368.3391492074202,1491.77000781867,136214636.33095643,2021-01-29
staked-ether,1304.4668986578768,275.43900370497744,130336576.17264885,2021-01-30
staked-ether,1273.1234207184214,815.8411847110183,128423916.80874236,2021-01-31
staked-ether,1329.0060049071658,13164.315981702022,140184744.40388563,2021-02-01
staked-ether,1346.727804117627,28536.077238119775,145276753.70925808,2021-02-02
staked-ether,1545.668488399302,54038.052707870615,180735971.2775028,2021-02-03
staked-ether,1624.4271769527734,19158.14964757375,203744610.56824762,2021-02-04
staked-ether,1594.5501325761145,1830.7141839224532,201186682.44525746,2021-02-05
staked-ether,1731.4765363608394,44490.71735453355,222268505.5315105,2021-02-06
staked-ether,1682.1317132892252,56381.27978942274,220914601.53389928,2021-02-07
staked-ether,1613.6562507350425,7027.011425889591,219932936.52136672,2021-02-08
staked-ether,1743.1164967557165,81848.05308774955,239165407.7590784,2021-02-09
staked-ether,1737.4069511231507,15729.270769604953,250012542.4738221,2021-02-10
staked-ether,1678.9084954200857,153624.73796377442,242295834.2448262,2021-02-11
staked-ether,1798.0872307302586,168109.01404994968,259833191.43432248,2021-02-12
staked-ether,1808.9937662840844,59804.46827307374,261280877.970859,2021-02-13
staked-ether,1802.506848236632,19653.96551087039,262939728.22138736,2021-02-14
staked-ether,1803.1335151240144,46387.71027098389,294711629.881902,2021-02-15
staked-ether,1791.3660700001963,7792.46014843974,294958586.7323307,2021-02-16
staked-ether,1767.6486962208423,112519.65140813809,291523195.17178017,2021-02-17
staked-ether,1817.0772481913507,143817.45187675042,300622581.17733866,2021-02-18
staked-ether,1875.8958846505727,494114.06289582636,333787841.51512885,2021-02-19
staked-ether,1914.1747444127998,1256535.0275572485,344370114.12837386,2021-02-20
staked-ether,1894.5326870185472,328342.46006478777,339928292.8660936,2021-02-21
staked-ether,1879.9640575572173,259935.78072799474,340343362.4612324,2021-02-22
staked-ether,1732.0358048010432,102069.60546073441,312701522.3541799,2021-02-23
staked-ether,1549.6964722163054,411399.3448702868,271660314.8449398,2021-02-24
staked-ether,1613.9529066806986,257054.520149334,292656427.0856388,2021-02-25
staked-ether,1485.5447370020397,171245.77058968096,271158609.08605045,2021-02-26
staked-ether,1445.7488463463906,157171.00950529528,263018409.71946073,2021-02-27
staked-ether,1461.0588692964116,130538.31208685029,264637341.59895805,2021-02-28
staked-ether,1409.6498807762928,142945.47115716257,257558423.01740965,2021-03-01
staked-ether,1551.5599396781754,268536.6998083374,283798158.03327113,2021-03-02
staked-ether,1483.3575096171016,428948.3910080055,273014655.5435863,2021-03-03
staked-ether,1502.8566962268505,465191.31893736,276033518.0087915,2021-03-04
staked-ether,1511.7771289697628,284001.9699187666,277102273.6344691,2021-03-05
staked-ether,1519.5798352054483,321660.9941076904,278866082.87590307,2021-03-06
staked-ether,1593.8697077830298,111495.00453677667,293038723.4337979,2021-03-07
staked-ether,1627.9380014697897,256675.641460964,299263259.7582876,2021-03-08
staked-ether,1728.0620627155777,133486.0450609236,317176961.6313772,2021-03-09
staked-ether,1781.7930417126202,33508.16314640721,329182604.3752913,2021-03-10
staked-ether,1778.5293720889251,61083.94042226839,329898559.39568394,2021-03-11
staked-ether,1781.8780907806092,107490.76294933699,333299923.5620808,2021-03-12
staked-ether,1740.263754328333,51357.06344329668,324313855.69440186,2021-03-13
staked-ether,1891.0786378878956,72495.58549016133,352839315.0936329,2021-03-14
staked-ether,1813.448773450634,5742.0862941128635,337871232.21925175,2021-03-15
staked-ether,1744.3643019692206,111250.95871980334,327760427.14815843,2021-03-16
staked-ether,1759.3685652353693,58752.291976144326,328378342.5222747,2021-03-17
staked-ether,1731.4616286672401,130013.13370337324,321599551.3513637,2021-03-18
staked-ether,1699.7323786280265,30388.06509264729,318143497.9496602,2021-03-19
staked-ether,1772.2577285366253,585.2698849659126,331655174.3892655,2021-03-20
staked-ether,1732.1929046545426,59628.56202441884,324579083.4998464,2021-03-21
staked-ether,1699.8196254046538,67276.31837229582,318975718.50393784,2021-03-22
staked-ether,1588.6239743431677,67902.2750178018,298103060.5698864,2021-03-23
staked-ether,1579.5926379576288,109868.83229236247,296240548.8227197,2021-03-24
staked-ether,1493.2380916128059,32320.77161494161,282328022.2358038,2021-03-25
staked-ether,1498.3688063294996,82558.99465446372,281726610.52717125,2021-03-26
staked-ether,1593.868325515618,25988.47988827144,300043292.80682737,2021-03-27
staked-ether,1624.8156676224924,269826.01974496635,307162321.8044741,2021-03-28
staked-ether,1601.6103450163978,69644.63430374478,301807932.7367469,2021-03-29
staked-ether,1716.8936243277683,44640.76683654571,324269510.52547604,2021-03-30
staked-ether,1742.0162918602775,352467.559209336,329674949.0681081,2021-03-31
staked-ether,1957.0555448157377,367875.14611124253,371312517.8656141,2021-04-01
staked-ether,1996.1222639108437,60395.917375928206,380181035.96008724,2021-04-02
staked-ether,2091.7340491444193,201007.64336872924,398684970.19520956,2021-04-03
staked-ether,2054.6633919914807,651546.3198182095,393148123.4491205,2021-04-04
staked-ether,2098.6603309217385,171226.37460850415,400546605.7059873,2021-04-05
staked-ether,2125.725733360798,248203.0014737549,410571877.74991435,2021-04-06
staked-ether,2148.3371962559336,301918.8418557247,415691225.734164,2021-04-07
staked-ether,2026.0049847506043,262454.6119427469,394280450.41624445,2021-04-08
staked-ether,2078.7026010783047,160130.57671428417,403455305.7118958,2021-04-09
staked-ether,2046.5888023983837,70885.7124737608,397249529.61335725,2021-04-10
staked-ether,2106.347017713862,317570.1167197053,432854220.93159914,2021-04-11
staked-ether,2117.574499255428,264403.10071984876,436029206.5328925,2021-04-12
staked-ether,2120.9323363011213,197885.26945048114,470602814.07585514,2021-04-13
staked-ether,2255.326349601962,82216.1291651061,511084059.1568367,2021-04-14
staked-ether,2344.587388180975,242297.06928206378,526918484.5554509,2021-04-15
staked-ether,2444.6217986210054,319865.21565723047,555852003.2217938,2021-04-16
staked-ether,2347.06970462939,84021.72960861442,534529234.7974068,2021-04-17
staked-ether,2277.2557479864363,181998.37625341414,518288626.1838617,2021-04-18
staked-ether,2171.64698207999,103647.0689529886,494299217.7966192,2021-04-19
staked-ether,2158.4666145601723,431.69332291203443,542126589.1605366,2021-04-20
staked-ether,2215.3781008654228,66428.27940613223,555497664.533885,2021-04-21
staked-ether,2294.700719477077,97810.69269825707,576639980.7681509,2021-04-22
staked-ether,2335.2102233718106,73407.63151920518,585848852.230604,2021-04-23
staked-ether,2253.902603151857,50726.51236015995,565826796.372817,2021-04-24
staked-ether,2188.4086211927265,165463.20381246172,553127173.3006326,2021-04-25
staked-ether,2277.552315020002,136339.43991753826,574408905.5561506,2021-04-26
staked-ether,2436.778487944533,135254.78211782372,614456049.6161923,2021-04-27
staked-ether,2678.8735965312226,908389.4449659302,676456203.2798262,2021-04-28
staked-ether,2774.5813700245208,928159.2239889475,709163451.5388601,2021-04-29
staked-ether,2774.3526944676128,292122.8861156898,710644702.0579995,2021-04-30
staked-ether,2689.4091826183712,1176354.4861071405,690706798.2627119,2021-05-01
staked-ether,2867.0008200148714,604540.317427004,738880504.4333328,2021-05-02
staked-ether,2872.241274182734,436254.83984884917,741949565.4860098,2021-05-03
staked-ether,3322.161939619979,928629.2302758599,857736338.5958,2021-05-04
staked-ether,3253.483985554426,912158.51979771,850165593.9817842,2021-05-05
staked-ether,3507.5674842655912,732915.7070911678,956207198.0695695,2021-05-06
staked-ether,3481.538939627244,873699.0028453228,958274123.4861953,2021-05-07
staked-ether,3466.4510158776084,1101383.0022863825,1069920239.5706303,2021-05-08
staked-ether,3893.7036487122223,11420710.999399489,1267235759.4814012,2021-05-09
staked-ether,3908.0317598510605,2130746.144799231,1303074816.9749866,2021-05-10
staked-ether,3998.4359433464997,3497120.5888799895,1341238586.5148304,2021-05-11
staked-ether,4087.7556914839306,1401292.370410504,1375087905.8983538,2021-05-12
staked-ether,3936.137737674107,2741139.788079122,1328837396.207625,2021-05-13
staked-ether,3687.78168533037,2313109.471281444,1253121744.9315715,2021-05-14
staked-ether,4066.371413302283,4768501.188345241,1377930608.5173578,2021-05-15
staked-ether,3793.9328258871333,2029142.1398311513,1308400999.2253513,2021-05-16
staked-ether,3578.828534191375,1823519.79024783,1230824404.55035,2021-05-17
staked-ether,3280.4596998461175,5074496.95753498,1130747577.4526253,2021-05-18
