Id,Prices,Volumes,Market_Cap,Date
bitcoin,34977.527801962424,84358034875.51308,654558962027.5841,2021-05-24
bitcoin,38642.4422973396,71163197727.3351,723143072419.7241,2021-05-25
bitcoin,38210.80521759389,48724794157.985054,715248689989.8947,2021-05-26
bitcoin,39406.934244116186,47026386118.47242,737668726732.3829,2021-05-27
bitcoin,38642.89555434217,40836817155.71973,723137484747.1467,2021-05-28
bitcoin,35710.220936529884,49991590067.73797,668521654364.6696,2021-05-29
bitcoin,34775.07941347281,43184025044.772804,654239808356.6592,2021-05-30
bitcoin,35714.75202018067,30650274657.695255,668664301773.5417,2021-05-31
bitcoin,37340.6792659422,37950798680.48171,699138611681.2975,2021-06-01
bitcoin,36680.06820180283,33536905027.710236,688726381047.1788,2021-06-02
bitcoin,37685.71798174826,31240691604.199257,704531333543.3906,2021-06-03
bitcoin,39151.316183800314,33396718844.557133,733150718114.4554,2021-06-04
bitcoin,36938.72031139185,39345490149.31464,691747462828.3618,2021-06-05
bitcoin,35546.98596483364,34068172835.766655,662913486273.3402,2021-06-06
bitcoin,35834.4744744042,27689283070.836933,671131079523.7289,2021-06-07
bitcoin,33451.38340714534,33345528753.340153,626527049947.8439,2021-06-08
bitcoin,33557.15068309184,46727462986.366455,629018966290.4011,2021-06-09
bitcoin,37553.64375851888,54511387836.11497,705292677171.4633,2021-06-10
bitcoin,36903.304906778896,42952476854.83458,691681868464.4717,2021-06-11
bitcoin,37289.43252210222,36358044262.709755,698528023663.5321,2021-06-12
bitcoin,35666.14977877309,35710196743.32056,668148892256.3638,2021-06-13
bitcoin,39147.70567879997,38185633278.287155,733402631079.1185,2021-06-14
bitcoin,40624.51305316154,45836408439.45157,761104314502.2867,2021-06-15
bitcoin,40378.20254971114,36706248352.237144,756522207420.3483,2021-06-16
bitcoin,38321.454656574206,36563438889.78541,718016373177.285,2021-06-17
bitcoin,38193.619141943964,36330237284.41833,715652442155.1261,2021-06-18
bitcoin,35881.11137137543,35162612172.75275,673761687974.4922,2021-06-19
bitcoin,35581.64226773201,28858979691.78587,666901325910.3705,2021-06-20
bitcoin,35787.07740523232,35609127163.62243,670634370556.6146,2021-06-21
bitcoin,31711.935467727006,51873870276.52254,598335733135.868,2021-06-22
bitcoin,32507.738707026845,57443014757.92467,606580031922.7239,2021-06-23
bitcoin,33702.61779371396,39798236962.44067,631634847766.2311,2021-06-24
bitcoin,34675.44910530336,31862051544.349895,650340461975.8141,2021-06-25
bitcoin,31943.136467863093,38635245431.3565,598703019611.4526,2021-06-26
bitcoin,32023.973901774916,36873109419.90242,600235334320.8247,2021-06-27
bitcoin,34607.293274083386,34335452117.32629,649262127990.3759,2021-06-28
bitcoin,34556.8421269449,32453802891.01519,647741224116.9337,2021-06-29
bitcoin,35968.993667970346,35121257875.54662,674231340724.4149,2021-06-30
bitcoin,35171.486304850056,31024153846.878517,660200427590.4775,2021-07-01
bitcoin,33677.566235922626,29129630236.14075,629863895571.7473,2021-07-02
bitcoin,33950.786555181,25084046353.169456,633684390025.5607,2021-07-03
bitcoin,34729.89077801021,22986053604.70427,650382046624.6503,2021-07-04
bitcoin,35394.213074080915,22727930417.748825,663571591568.1959,2021-07-05
bitcoin,33928.13421837147,25894820184.74507,636061920914.8282,2021-07-06
bitcoin,34149.98981477412,26106856611.92326,640405812761.686,2021-07-07
bitcoin,33932.25463831538,23692220470.135063,636246944189.2604,2021-07-08
bitcoin,32933.578199292395,29065577052.29722,617861633771.9894,2021-07-09
bitcoin,33971.297749757956,24282108111.21572,637000370375.4657,2021-07-10
bitcoin,33704.53847440508,20558304483.59407,632185737683.1548,2021-07-11
bitcoin,34299.938016517444,17798828844.27227,643335853171.1349,2021-07-12
bitcoin,33262.6543524462,21683885320.611263,623350567666.981,2021-07-13
bitcoin,32676.38380096018,19932531699.624603,613002045101.37,2021-07-14
bitcoin,32878.50187357147,21779069066.445965,616691143979.958,2021-07-15
bitcoin,31726.038833909817,21557729227.284348,595342431373.8641,2021-07-16
bitcoin,31399.653128682126,22671859962.66356,588495008675.5178,2021-07-17
bitcoin,31588.6713510167,17715455994.789402,592581931071.2119,2021-07-18
bitcoin,31919.393922554555,17742105807.895496,597872278369.1111,2021-07-19
bitcoin,30928.211908849244,20095540828.295692,580252472382.7122,2021-07-20
bitcoin,29971.903783612062,23000299061.896305,561743228116.5483,2021-07-21
bitcoin,32383.78112696872,29070652059.995018,605357009416.7555,2021-07-22
bitcoin,32409.499767175417,19741588059.45234,607621607805.3499,2021-07-23
bitcoin,33455.55127272261,22937379734.633812,627747173675.4332,2021-07-24
bitcoin,34213.59993217662,22120323672.367214,642012590040.6406,2021-07-25
bitcoin,35456.124660766836,20929083220.53677,664681184168.7764,2021-07-26
bitcoin,37281.91809217662,53550491997.72306,701921012034.6644,2021-07-27
bitcoin,39076.59377063225,36401287454.43055,732311951673.3547,2021-07-28
bitcoin,40031.19824444798,41369107422.717026,751371299910.5153,2021-07-29
bitcoin,39977.75693922764,28717414113.01727,750407963580.4731,2021-07-30
bitcoin,41936.261478677225,35530501782.520935,786531956383.648,2021-07-31
bitcoin,41754.16660435275,28437941447.49927,784039345926.1898,2021-08-01
bitcoin,39914.82975848789,28555173661.663795,747403845431.8284,2021-08-02
bitcoin,39278.766508103676,28057528866.262108,737440183775.5553,2021-08-03
bitcoin,38368.35401197897,28422901237.16951,720835141114.3336,2021-08-04
bitcoin,39751.58457509862,27751046040.329308,747085951935.0547,2021-08-05
bitcoin,40825.381940449704,38527930905.31518,768416417393.5968,2021-08-06
bitcoin,42802.13717474142,40840608016.843094,803853127161.2805,2021-08-07
bitcoin,44647.57760300116,42725276705.46515,838457486987.6113,2021-08-08
bitcoin,43753.217862646314,39633218478.615295,821704814136.0109,2021-08-09
bitcoin,46311.00189857689,42726733997.85781,861862844505.6104,2021-08-10
bitcoin,45639.51401890709,35669862361.54627,854344953098.7552,2021-08-11
bitcoin,45652.06012506926,35679832771.371475,857660568377.3856,2021-08-12
bitcoin,44495.20979327958,35838614930.04035,836054770491.896,2021-08-13
bitcoin,47717.27052766495,34320865037.164627,895084141168.7996,2021-08-14
bitcoin,47088.85313451467,33294851810.64847,886593539912.8141,2021-08-15
bitcoin,47025.00323011282,32863850458.005253,882888202377.7089,2021-08-16
bitcoin,46031.75754362583,34221605780.00136,866391335029.3693,2021-08-17
bitcoin,44534.454854219905,34488116651.18446,836777066605.9799,2021-08-18
bitcoin,45015.46554608543,34668999387.83819,847143004614.999,2021-08-19
bitcoin,46745.03462296988,38434805722.952705,867650725472.864,2021-08-20
bitcoin,49195.87860189616,36497089236.87114,923013359587.4719,2021-08-21
bitcoin,48933.689151311635,42147725293.165855,920750216465.3846,2021-08-22
bitcoin,49250.54486971799,27110183703.24463,925630106451.4792,2021-08-23
bitcoin,49518.57748790696,35800255386.41374,930729196214.2946,2021-08-24
bitcoin,47940.6079149608,38387146174.87064,902489541307.5308,2021-08-25
bitcoin,49002.70376627545,33517327123.555378,921328247353.5629,2021-08-26
bitcoin,47229.070650876114,33774857002.92822,887832142450.1957,2021-08-27
bitcoin,49083.10330586219,34607868773.39842,922969799298.9401,2021-08-28
bitcoin,48936.537254142204,28491785397.365837,920017911098.7555,2021-08-29
bitcoin,48907.27073106221,26244843557.507874,919515378468.8468,2021-08-30
bitcoin,47124.25422469402,32326073271.91957,885729258052.6316,2021-08-31
bitcoin,47335.42029920565,34868965959.24512,890014982634.8986,2021-09-01
bitcoin,48823.05520964915,39060601275.21267,918058330851.4829,2021-09-02
bitcoin,49338.78465183332,39362789535.46043,927323146557.2119,2021-09-03
bitcoin,49934.5282762881,42934455726.28852,937295558515.289,2021-09-04
bitcoin,50013.02994694588,36985805206.72937,940538655659.8085,2021-09-05
bitcoin,51696.206431317885,31765191430.17128,971284117138.44,2021-09-06
bitcoin,52739.800166345514,37532574716.902405,992868819862.2306,2021-09-07
bitcoin,46995.16417095979,64010507329.271904,881943904968.6511,2021-09-08
bitcoin,46085.02861578186,48151104381.084854,866885887154.3109,2021-09-09
bitcoin,46518.94118660236,38581092903.84418,876179332243.7437,2021-09-10
bitcoin,44802.60640249699,38051987740.157684,842222636395.4677,2021-09-11
bitcoin,45196.488277558245,34160277726.441067,849828231595.6722,2021-09-12
bitcoin,46195.21830082935,27585855039.22065,869122611514.091,2021-09-13
bitcoin,45139.83396873267,40683028027.85497,848992511473.5618,2021-09-14
bitcoin,47135.43199562694,38645575965.52751,886524004596.6061,2021-09-15
bitcoin,48186.53275704722,30037816650.128475,906727769791.0696,2021-09-16
bitcoin,47879.47343992101,31578783374.768665,900990520811.9348,2021-09-17
bitcoin,47228.65821623257,27731209179.052345,892585184977.8329,2021-09-18
bitcoin,48266.62707279063,27630476157.8273,907957032341.1344,2021-09-19
